Image,AQI_FINAL_CONSENSO,AQI_CSIQ,Noise_CSIQ,Conf_CSIQ(%),AQI_LIVE,Noise_LIVE,Conf_LIVE(%),AQI_TID2013,Noise_TID2013,Conf_TID2013(%)
sample_17_TID_i19_21_4.bmp,57.98,92.27,wn,97.0,68.9,wn,100.0,47.05,type_21,66.0
sample_18_LIVE_img171.bmp,69.56,95.1,jpeg,92.0,69.97,jp2k,72.51,69.16,type_06,31.0
sample_18_TID_i11_11_2.bmp,79.5,84.56,jpeg,71.0,54.73,jp2k,64.0,74.44,jp2k,68.0
sample_19_LIVE_img68.bmp,53.11,87.76,gblur,67.0,53.34,fastfading,79.0,52.89,gblur,43.0
sample_19_TID_i05_15_5.bmp,92.93,98.01,gblur,65.0,87.84,wn,29.3,54.75,type_15,70.0
sample_20_LIVE_img98.bmp,80.83,84.19,jpeg,86.0,53.67,jp2k,88.0,77.47,type_09,50.0
sample_20_TID_i09_17_3.bmp,94.26,97.55,gblur,68.0,90.97,gblur,36.54,67.45,type_17,74.0
sample_21_LIVE_img135.bmp,78.28,80.15,jpeg,69.0,52.35,fastfading,71.0,76.4,type_09,46.0
sample_22_TID_i03_16_1.bmp,89.93,91.35,jpeg,55.0,88.52,wn,44.0,81.57,type_16,85.0
sample_23_LIVE_img93.bmp,40.8,76.68,wn,98.0,39.08,wn,100.0,42.53,type_05,100.0
sample_24_CSIQ_aerial_city.AWGN.1.png,76.86,96.82,wn,97.0,80.38,wn,90.14,73.35,type_02,33.0
sample_25_TID_i03_09_3.bmp,59.13,93.58,gblur,78.0,50.82,fastfading,61.0,67.43,type_09,75.0
sample_26_TID_i05_12_3.bmp,95.38,99.37,gblur,88.0,91.39,wn,32.1,71.16,type_12,80.0
sample_27_CSIQ_snow_leaves.AWGN.4.png,64.54,62.97,wn,100.0,66.11,wn,100.0,53.45,type_19,72.0
sample_28_LIVE_img27.bmp,53.33,91.8,gblur,51.0,41.26,jp2k,95.0,65.41,jp2k,62.0
sample_29_TID_i16_12_1.bmp,90.21,90.38,gblur,83.0,90.03,wn,29.77,71.24,type_12,74.0
sample_30_TID_i18_24_1.bmp,96.72,97.79,wn,69.0,95.65,wn,65.76,77.77,type_24,60.0
sample_31_LIVE_img119.bmp,65.13,80.04,jpeg,95.0,60.4,jpeg,93.0,69.87,jpeg,48.0
sample_32_TID_i23_20_3.bmp,96.4,100.0,gblur,54.0,92.8,gblur,39.33,67.36,type_20,74.0
sample_33_LIVE_img155.bmp,29.37,74.5,gblur,60.0,21.54,jp2k,90.0,37.21,jp2k,95.0
sample_34_TID_i15_07_2.bmp,56.73,56.47,jpeg,83.0,26.46,jpeg,95.0,57.0,type_07,97.0
sample_35_LIVE_img162.bmp,94.16,95.52,gblur,82.0,92.79,jp2k,29.78,65.35,type_16,18.0
sample_36_TID_i02_05_5.bmp,42.93,71.46,wn,98.0,40.43,wn,100.0,45.43,type_05,100.0
sample_37_TID_i25_18_3.bmp,58.75,50.59,jpeg,100.0,56.78,jpeg,93.0,60.71,type_18,94.0
sample_38_TID_i10_09_4.bmp,53.21,94.98,gblur,93.0,57.86,gblur,68.0,48.56,type_09,88.0
sample_39_TID_i15_17_5.bmp,60.21,81.67,gblur,97.0,65.49,gblur,66.0,54.94,type_17,74.0
sample_40_LIVE_img132.bmp,70.65,81.51,jpeg,99.0,68.57,jpeg,62.41,72.72,type_09,32.0
sample_41_TID_i06_05_3.bmp,61.5,62.95,wn,100.0,60.05,wn,100.0,66.56,type_05,77.0
sample_42_LIVE_img146.bmp,81.35,93.56,jpeg,58.0,31.33,jp2k,87.0,69.15,jp2k,75.0
sample_43_TID_i12_01_2.bmp,68.55,86.99,wn,100.0,64.1,wn,100.0,73.01,wn,74.0
sample_44_CSIQ_cactus.jpeg.2.png,63.21,73.38,jpeg,100.0,64.63,jpeg,35.82,61.79,type_21,25.0
sample_45_TID_i09_22_5.bmp,53.79,51.39,jpeg,91.0,56.2,jpeg,96.0,37.16,type_22,99.0
sample_46_TID_i08_09_5.bmp,47.05,97.26,jpeg,52.0,61.96,fastfading,38.0,32.14,type_09,76.0
sample_47_LIVE_img196.bmp,71.37,71.89,jpeg,88.0,36.88,jp2k,92.0,70.86,type_09,34.0
sample_48_TID_i12_11_3.bmp,36.78,72.84,jpeg,52.0,35.99,jp2k,81.0,37.58,jp2k,92.0
sample_49_TID_i21_03_2.bmp,93.39,95.51,wn,74.0,91.26,wn,66.6,62.28,type_03,66.0
sample_50_TID_i20_20_4.bmp,84.64,89.95,jpeg,70.0,79.32,jp2k,39.47,63.65,type_20,78.0
sample_51_TID_i22_15_2.bmp,93.11,98.77,jpeg,70.0,87.45,jpeg,43.32,45.52,type_15,84.0
sample_52_TID_i13_03_3.bmp,78.08,82.76,wn,99.0,73.39,wn,97.0,60.74,type_03,71.0
sample_53_TID_i04_14_2.bmp,72.56,95.66,gblur,79.0,74.37,gblur,80.72,70.76,type_14,72.0
sample_54_TID_I10_13_1.BMP,98.71,99.57,jpeg,54.0,97.85,wn,59.47,64.99,type_13,68.0
sample_55_TID_i19_04_5.bmp,90.49,90.86,wn,54.0,90.12,wn,61.5,60.78,type_04,97.0
sample_56_TID_i12_03_4.bmp,53.96,93.48,wn,98.0,64.83,wn,100.0,43.09,type_03,97.0
sample_57_TID_i12_21_2.bmp,76.08,95.55,wn,50.0,79.78,wn,80.08,72.38,type_21,70.0
sample_58_LIVE_img36.bmp,88.88,87.7,gblur,49.0,90.05,jpeg,29.65,75.1,type_23,18.0
sample_59_LIVE_img17.bmp,74.88,80.25,jpeg,73.0,47.15,fastfading,79.0,69.51,jp2k,32.0
sample_60_TID_i21_09_5.bmp,52.38,97.15,gblur,89.0,57.69,fastfading,73.0,47.08,type_09,94.0
sample_61_TID_i25_21_1.bmp,68.81,58.26,jpeg,80.0,70.37,jp2k,56.92,67.26,type_21,65.0
sample_62_CSIQ_family.AWGN.4.png,61.99,62.37,wn,100.0,61.61,wn,100.0,47.91,type_19,43.0
sample_63_TID_i21_12_1.bmp,98.46,100.0,jpeg,43.0,96.91,wn,36.55,78.77,type_12,86.0
sample_64_TID_i15_23_1.bmp,75.85,88.78,gblur,70.0,77.94,gblur,48.82,73.76,type_23,66.0
sample_65_TID_i24_15_2.bmp,91.89,96.14,jpeg,85.0,87.65,fastfading,35.54,54.16,type_15,90.0
sample_66_TID_i19_08_5.bmp,31.44,59.99,gblur,100.0,31.21,fastfading,69.0,31.68,gblur,85.0
sample_67_TID_i05_22_3.bmp,57.07,84.93,jpeg,95.0,48.82,jpeg,81.2,65.31,type_22,93.0
sample_68_LIVE_img52.bmp,76.08,86.73,wn,96.0,14.91,wn,100.0,65.44,type_05,91.0
sample_69_CSIQ_trolley.jpeg.5.png,23.86,27.33,jpeg,100.0,20.39,jpeg,100.0,34.53,jpeg,96.0
sample_70_CSIQ_cactus.AWGN.1.png,91.93,92.91,wn,81.0,90.94,wn,48.97,70.32,type_04,30.0
sample_71_TID_i06_23_4.bmp,77.94,80.11,gblur,51.0,86.83,jpeg,34.79,75.76,type_23,83.0
sample_72_TID_i04_23_5.bmp,19.81,20.45,gblur,100.0,13.89,fastfading,66.0,19.17,type_23,67.0
sample_73_LIVE_img203.bmp,61.78,62.96,jpeg,95.0,50.23,jp2k,86.0,60.6,type_09,39.0
sample_74_TID_I20_11_1.BMP,64.2,64.79,jpeg,100.0,63.62,jp2k,74.0,73.06,jp2k,65.0
sample_75_TID_i25_16_3.bmp,53.37,50.37,jpeg,100.0,56.37,jpeg,96.0,72.93,type_16,93.0
sample_76_TID_i12_13_3.bmp,91.73,100.0,wn,72.0,83.46,wn,75.0,45.41,type_13,82.0
sample_77_TID_i19_05_4.bmp,52.88,51.76,wn,100.0,46.75,wn,100.0,54.0,type_05,100.0
sample_78_TID_i17_08_3.bmp,56.2,78.56,gblur,100.0,51.29,gblur,85.0,61.12,gblur,82.0
sample_79_TID_i08_19_5.bmp,69.03,75.38,wn,98.0,62.67,wn,100.0,49.65,type_19,88.0
sample_80_CSIQ_geckos.jpeg.2.png,90.37,94.19,jpeg,71.0,86.55,wn,83.52,51.78,type_13,33.0
sample_81_TID_i24_21_4.bmp,68.1,72.76,wn,100.0,63.45,wn,100.0,50.97,type_21,69.0
sample_82_CSIQ_foxy.jpeg.4.png,73.24,87.65,jpeg,97.0,73.37,jp2k,35.78,73.11,type_17,36.0
sample_83_TID_i14_08_1.bmp,90.92,91.43,gblur,71.0,90.41,gblur,35.48,65.98,gblur,61.0
sample_84_TID_i03_12_4.bmp,88.92,91.81,gblur,60.0,86.04,jpeg,38.24,60.46,type_12,72.0
sample_85_LIVE_img168.bmp,99.66,100.0,gblur,56.0,99.33,jpeg,29.49,68.68,type_15,21.0
sample_86_TID_i11_04_1.bmp,95.0,98.56,gblur,49.0,91.44,jpeg,37.04,75.81,type_04,78.0
sample_87_TID_i22_18_5.bmp,97.64,98.61,wn,64.0,96.67,wn,38.27,65.18,type_18,86.0
sample_88_LIVE_img67.bmp,75.78,87.36,jpeg,94.0,76.91,jp2k,27.44,74.65,type_09,32.0
sample_89_TID_i20_18_5.bmp,82.92,87.04,jpeg,84.0,78.8,jp2k,46.63,60.03,type_18,66.0
sample_90_TID_i06_24_3.bmp,85.67,85.97,gblur,47.0,85.36,wn,38.31,68.02,type_24,66.0
sample_91_TID_i20_20_5.bmp,85.61,90.19,jpeg,71.0,81.02,jp2k,39.54,70.05,type_20,81.0
sample_92_TID_i07_01_4.bmp,57.04,67.72,wn,100.0,54.02,wn,100.0,60.06,wn,87.0
sample_93_TID_i21_09_1.bmp,72.31,72.91,jpeg,97.0,71.71,jp2k,45.76,79.18,type_09,68.0
sample_94_TID_i24_23_2.bmp,79.09,91.7,gblur,57.0,82.08,gblur,36.89,76.1,type_23,69.0
sample_95_CSIQ_child_swimming.blur.1.png,92.05,96.99,gblur,80.0,87.1,gblur,54.41,50.8,type_13,38.0
sample_96_CSIQ_1600.jpeg.1.png,90.01,97.34,jpeg,94.0,82.68,jp2k,37.09,67.38,type_09,19.0
sample_97_TID_i23_11_5.bmp,17.85,41.99,gblur,100.0,22.56,fastfading,50.0,13.15,jp2k,86.0
sample_98_LIVE_img39.bmp,58.8,60.62,jpeg,98.0,34.33,jpeg,99.0,56.98,jpeg,66.0
sample_99_TID_i22_02_3.bmp,72.67,86.23,wn,99.0,70.26,wn,99.0,75.08,type_02,71.0
